gauge,depth_in,height_in,width_in (column profile),price_cents,price,weight_kg,load_capacity_kg,type,category
12,42,360,3,691732,6917.32,147.49,21805,selectivo,marco
12,42,360,3,673646,6736.46,143.64,21043,selectivo,marco
12,42,360,3,659499,6594.99,140.59,20238,selectivo,marco
12,42,360,3,739085,7390.85,157.59,18447,selectivo,marco
12,42,360,3,707452,7074.52,150.69,16532,selectivo,marco
12,42,360,3,691774,6917.74,147.59,14553,selectivo,marco
12,42,360,3,673646,6736.46,143.64,12567,selectivo,marco
14,36,384,3,548493,5484.93,116.95,15419,selectivo,marco
14,36,384,3,539058,5390.58,114.94,15494,selectivo,marco
14,36,384,3,528259,5282.59,112.64,15488,selectivo,marco
14,36,384,3,516122,5161.22,110,14955,selectivo,marco
14,36,384,3,500787,5007.87,107.07,14393,selectivo,marco
14,36,384,3,548493,5484.93,116.95,13128,selectivo,marco
14,36,384,3,538844,5388.44,114.89,11690,selectivo,marco
14,36,384,3,528386,5283.86,112.66,10369,selectivo,marco
14,36,384,3,516122,5161.22,110.05,8952,selectivo,marco
14,42,384,3,570850,5708.5,121.72,15419,selectivo,marco
14,42,384,3,558658,5586.58,119.12,15494,selectivo,marco
14,42,384,3,545372,5453.72,116.3,15488,selectivo,marco
14,42,384,3,530803,5308.03,113.18,14955,selectivo,marco
14,42,384,3,514570,5145.7,109.67,14393,selectivo,marco
14,42,384,3,570850,5708.5,121.72,13128,selectivo,marco
14,42,384,3,558658,5586.58,119.09,11690,selectivo,marco
14,42,384,3,545453,5454.53,116.3,10369,selectivo,marco
14,42,384,3,530803,5308.03,113.18,8952,selectivo,marco
12,36,384,3,757197,7571.97,161.45,21775,selectivo,marco
12,36,384,3,730339,7303.39,155.72,21852,selectivo,marco
12,36,384,3,715531,7155.31,152.58,21781,selectivo,marco
12,36,384,3,699712,6997.12,149.19,21021,selectivo,marco
12,36,384,3,685574,6855.74,146.22,20219,selectivo,marco
12,36,384,3,757197,7571.97,161.45,18429,selectivo,marco
12,36,384,3,729397,7293.97,155.61,16506,selectivo,marco
12,36,384,3,715737,7157.37,152.61,14538,selectivo,marco
12,36,384,3,699712,6997.12,149.19,12552,selectivo,marco
12,42,384,3,788899,7888.99,168.1,21775,selectivo,marco
12,42,384,3,752155,7521.55,160.37,21852,selectivo,marco
12,42,384,3,737878,7378.78,157.33,21781,selectivo,marco
12,42,384,3,718606,7186.06,153.22,21021,selectivo,marco
12,42,384,3,702492,7024.92,150.34,20219,selectivo,marco
12,42,384,3,788899,7888.99,168.1,18429,selectivo,marco
12,42,384,3,752476,7524.76,160.42,16506,selectivo,marco
12,42,384,3,738399,7383.99,157.43,14538,selectivo,marco
12,42,384,3,718606,7186.06,153.22,12552,selectivo,marco
14,36,406,3,587248,5872.48,125.21,15391,selectivo,marco
14,36,406,3,560533,5605.33,119.52,15471,selectivo,marco
14,36,406,3,549735,5497.35,117.21,15467,selectivo,marco
14,36,406,3,537598,5375.98,114.63,14935,selectivo,marco
14,36,406,3,523623,5236.23,111.65,14376,selectivo,marco
14,36,406,3,587248,5872.48,125.21,13113,selectivo,marco
14,36,406,3,560133,5601.33,119.45,11649,selectivo,marco
14,36,406,3,549862,5498.62,117.24,10356,selectivo,marco
14,36,406,3,537598,5375.98,114.63,8938,selectivo,marco
14,42,406,3,611720,6117.2,130.43,15391,selectivo,marco
