height_mm,depth_mm,height_in,depth_in,width_in,beam_separation_in,gauge,load_capacity_kg,weight_kg,cost,type,category,sku
9754,914,384,36,3,72,14,13128,116.95,5484.93,selectivo,marco,frame-384in-36in-72in-g14
9754,914,384,36,3,84,14,11764,114.89,5388.44,selectivo,marco,frame-384in-36in-84in-g14
9754,914,384,36,3,96,14,10369,112.66,5283.86,selectivo,marco,frame-384in-36in-96in-g14
9754,914,384,36,3,108,14,8952,110.05,5161.22,selectivo,marco,frame-384in-36in-108in-g14
10363,914,408,36,3,36,14,15391,125.21,5872.48,selectivo,marco,frame-408in-36in-36in-g14
10363,914,408,36,3,42,14,15471,119.52,5605.33,selectivo,marco,frame-408in-36in-42in-g14
10363,914,408,36,3,48,14,15467,117.21,5497.35,selectivo,marco,frame-408in-36in-48in-g14
10363,914,408,36,3,54,14,14935,114.63,5375.98,selectivo,marco,frame-408in-36in-54in-g14
10363,914,408,36,3,60,14,14376,111.65,5236.23,selectivo,marco,frame-408in-36in-60in-g14
10363,914,408,36,3,72,14,13113,125.21,5872.48,selectivo,marco,frame-408in-36in-72in-g14
10363,914,408,36,3,84,14,11749,119.47,5603.20,selectivo,marco,frame-408in-36in-84in-g14
10363,914,408,36,3,96,14,10356,117.24,5498.62,selectivo,marco,frame-408in-36in-96in-g14
10363,914,408,36,3,108,14,8938,114.63,5375.98,selectivo,marco,frame-408in-36in-108in-g14
10973,914,432,36,3,36,14,15364,133.48,6260.37,selectivo,marco,frame-432in-36in-36in-g14
10973,914,432,36,3,42,14,15448,127.97,6001.95,selectivo,marco,frame-432in-36in-42in-g14
10973,914,432,36,3,48,14,15445,125.87,5903.16,selectivo,marco,frame-432in-36in-48in-g14
10973,914,432,36,3,54,14,14914,123.49,5791.69,selectivo,marco,frame-432in-36in-54in-g14
10973,914,432,36,3,60,14,14358,120.73,5662.08,selectivo,marco,frame-432in-36in-60in-g14
10973,914,432,36,3,72,14,13097,133.48,6260.37,selectivo,marco,frame-432in-36in-72in-g14
10973,914,432,36,3,84,14,11735,127.92,5999.57,selectivo,marco,frame-432in-36in-84in-g14
10973,914,432,36,3,96,14,10343,125.9,5904.58,selectivo,marco,frame-432in-36in-96in-g14
10973,914,432,36,3,108,14,8925,123.49,5791.69,selectivo,marco,frame-432in-36in-108in-g14
11582,914,456,36,3,36,14,15336,138.06,6475.13,selectivo,marco,frame-456in-36in-36in-g14
